flaskbb/flaskbb/cli/main.py:381:12: blacklist, severity: MEDIUM, confidence: HIGH, Use of possibly insecure function - consider using safer ast.literal_eval.
flaskbb/flaskbb/utils/translations.py:155:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:158:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:158:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:174:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:174:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/tests/endtoend/test_auth_views.py:16:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/endtoend/test_auth_views.py:17:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/endtoend/test_auth_views.py:25:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/endtoend/test_auth_views.py:33:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/endtoend/test_auth_views.py:41:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_activation.py:19:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_activation.py:27:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_activation.py:73:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_activation.py:86:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:32:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:62:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:67:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:72:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:85:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:86:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:98:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:110:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_authentication.py:126:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_password.py:27:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_password.py:43:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_password.py:55:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_password.py:65:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_password.py:66:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_reauthentication.py:19:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_reauthentication.py:26:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_reauthentication.py:37:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_reauthentication.py:38:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_reauthentication.py:54:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration.py:45:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration.py:70:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration_processors.py:22:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration_processors.py:31:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration_processors.py:46:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration_processors.py:47:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration_processors.py:79:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration_processors.py:80:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_registration_processors.py:81:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:25:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:26:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:40:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:41:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:55:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:56:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:73:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:74:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:90:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/auth/test_validators.py:91:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/forum/test_forum_utils.py:10:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/forum/test_forum_utils.py:13:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/forum/test_forum_utils.py:20:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/forum/test_forum_utils.py:35:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:30:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:31:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:32:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:33:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:36:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:37:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:46:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:47:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:56:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:62:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:67:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_deprecation.py:68:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_email.py:13:12: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_email.py:15:12: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_email.py:16:12: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_email.py:26:12: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_email.py:28:12: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_email.py:29:12: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:17:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:26:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:37:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:38:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:39:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:43:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:48:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:50:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:57:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:58:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:63:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:64:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:73:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:78:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:80:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:81:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:85:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:90:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:92:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:93:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:102:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:106:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:108:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:110:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:114:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:118:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:120:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:122:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:131:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:132:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:141:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:146:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:152:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:154:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:162:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:168:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:188:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:199:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:206:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:216:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:220:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:246:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:250:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:254:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:265:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:273:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:284:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:291:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:299:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:300:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:301:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:305:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:310:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:313:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:314:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:316:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:317:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:318:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:323:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:324:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:325:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:326:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:334:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:335:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:336:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:337:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:338:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:348:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:350:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:351:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:353:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:354:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:356:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:357:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:358:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:363:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:379:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:396:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:401:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:418:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:434:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:445:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:457:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:460:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:463:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:475:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:477:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:481:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
