flask-realworld-example-app/conduit/commands.py:5:0: blacklist, severity: LOW, confidence: HIGH, Consider possible security implications associated with the subprocess module.
flask-realworld-example-app/tests/test_models.py:142:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:143:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:150:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:151:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:152:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:165:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:166:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:177:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:178:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:179:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:180:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_models.py:181:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_profile.py:21:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_profile.py:22:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_profile.py:26:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_profile.py:27:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_profile.py:36:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flask-realworld-example-app/tests/test_profile.py:45:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
